segment_name,md5,program,from_date
stranger,12b6f16303d3d4cd13399a022017ba04,oferting,2017-09-07 00:00:00.000000
frequent openers,d3b455bdfcc59b969e11c6da7343687e,oferting,2017-09-07 00:00:00.000000
halfslept,298daac4d5cdd12f8a3c1568572c0303,oferting,2017-09-07 00:00:00.000000
new,24c28d79903dc59ce460abd7ff3587fe,oferting,2017-09-07 00:00:00.000000
preactivated,114284a36c0208b1c3930f17d4f7ee79,oferting,2017-09-07 00:00:00.000000
clickers,97ea20747e787ed35537dee680a5a33e,oferting,2017-09-07 00:00:00.000000
halfslept,c298d74ac86515d87e16475fef319a6b,oferting,2017-09-07 00:00:00.000000
new,07d5a3fa9e6b49aee79988620c1e1c6e,oferting,2017-09-07 00:00:00.000000
frequent openers,430659b6079c9a493a76480229b1435e,oferting,2017-09-07 00:00:00.000000
frequent openers,5550210744670d972d6b81a6e330e6a6,oferting,2017-09-07 00:00:00.000000
frequent openers,f9c39df3fbb5c18ac4db3afc440a46e4,oferting,2017-09-07 00:00:00.000000
stranger,3708f36deb0e5edfbb01b2d2a7789893,oferting,2017-09-07 00:00:00.000000
halfslept,354bd20ab006d87ce3596285dec0832c,oferting,2017-09-07 00:00:00.000000
stranger,b472beefa8d6af8e1e09e643ccdfcef6,oferting,2017-09-07 00:00:00.000000
preactivated,213c6cd6cb9bd3da579c7bf12a7a4cb5,oferting,2017-09-07 00:00:00.000000
total inactive,cc90d7eff2e35330ce4dc40dde775a4e,oferting,2017-09-07 00:00:00.000000
preactivated,e0950a2e34fb4aff5aa7534e62f83503,oferting,2017-09-07 00:00:00.000000
frequent openers,bbec9ecaf0c999d5a2e02dda5d36ef2f,oferting,2017-09-07 00:00:00.000000
new,24837165447d6e4a4c1c8588160c373e,oferting,2017-09-07 00:00:00.000000
preactivated,862893026acc078de56a5db80852eeb9,oferting,2017-09-07 00:00:00.000000
frequent openers,572307fd20d3af562e493ca62fc6761f,oferting,2017-09-07 00:00:00.000000
total inactive,e2111f0149dfd56cf2b362f03a724ece,oferting,2017-09-07 00:00:00.000000
halfslept,e6abcb47ae8bfe1646ed7aee0d6869e6,oferting,2017-09-07 00:00:00.000000
clickers,6b0881abe637723dc6ad63ac47af1ae9,oferting,2017-09-07 00:00:00.000000
clickers,ab72a109a4a9d9f8df6e46a0f29b5b2e,oferting,2017-09-07 00:00:00.000000
clickers,9e26c0eebbb68fa1f61303c4d84440ce,oferting,2017-09-07 00:00:00.000000
new,b3f411b09199c3362114a6db996dbe4b,oferting,2017-09-07 00:00:00.000000
halfslept,cbabb5d081be23f4ca1698b1a22ccc74,oferting,2017-09-07 00:00:00.000000
halfslept,116ed831ebc877abe8c62bbfb771834e,oferting,2017-09-07 00:00:00.000000
frequent openers,e4579df1b96a09ae7bb476bdfc56ce1b,oferting,2017-09-07 00:00:00.000000
total inactive,32363862af5f23415a4da80ea028f394,oferting,2017-09-07 00:00:00.000000
clickers,1dd915047fc707b4ba0e501a8cef01e4,oferting,2017-09-07 00:00:00.000000
stranger,068914821f40fb7b987e14d3b7a59a6a,oferting,2017-09-07 00:00:00.000000
clickers,a22ee6f1c665542d6899deff09d39280,oferting,2017-09-07 00:00:00.000000
aop,17f1c918bc9958b408061fc9f1673267,oferting,2017-09-07 00:00:00.000000
stranger,89bf254c632e60d12ce33fa20d3f228c,oferting,2017-09-07 00:00:00.000000
frequent openers,1101e438b61616682f9c922820baa634,oferting,2017-09-07 00:00:00.000000
preactivated,5dd72e3d7f1afc2a9404292585841220,oferting,2017-09-07 00:00:00.000000
frequent openers,a861de93dbd7e887b5afd9b6d1867fca,oferting,2017-09-07 00:00:00.000000
awaken,3a3ad610527441e5abbd06ab9987bbe9,oferting,2017-09-07 00:00:00.000000
new,7a2396a012c6e5bc4ed88a46690e1362,oferting,2017-09-07 00:00:00.000000
frequent openers,8fa2dfc60fdba7208c59a5325acf81b8,oferting,2017-09-07 00:00:00.000000
frequent openers,084deb94ea7527eeb1776319ec7db1d0,oferting,2017-09-07 00:00:00.000000
new,ebe9528985b8790c2949f3c818f1446d,oferting,2017-09-07 00:00:00.000000
new,52832ccba554e9633cd14aba49ac9a18,oferting,2017-09-07 00:00:00.000000
frequent openers,36210e1d78e0447a43a2acaef983a2f5,oferting,2017-09-07 00:00:00.000000
frequent openers,ab2e44474122b52282505056378cd33c,oferting,2017-09-07 00:00:00.000000
total inactive,2092b8e72aa8271d845bbd869c38a040,oferting,2017-09-07 00:00:00.000000
reactivated,7641d723ff1bac5fd73cc2d359dd5421,oferting,2017-09-07 00:00:00.000000
preactivated,b6f05d0cf571de156f0ae28533fe5e02,oferting,2017-09-07 00:00:00.000000
awaken,06208ba9a751c006f344014b85c3813e,oferting,2017-09-07 00:00:00.000000
new,adcff1d5c947c123dd696d1f0880c77d,oferting,2017-09-07 00:00:00.000000
frequent openers,d99533fc210b8048d123e48481b49e91,oferting,2017-09-07 00:00:00.000000
frequent openers,cfb97f120f99b29632c9da1a8b8623d4,oferting,2017-09-07 00:00:00.000000
frequent openers,c82d7f7f49e97c68fe4fa0d3ed61826a,oferting,2017-09-07 00:00:00.000000
total inactive,61a3a2b2d6cd92ad054a0055480df95e,oferting,2017-09-07 00:00:00.000000
clickers,c766972ae63ee892da61382f35cea1b3,oferting,2017-09-07 00:00:00.000000
new,9895e70b5b61c850a0ad2e6f9e200553,oferting,2017-09-07 00:00:00.000000
frequent openers,9c06c2f2d91a568eb6b95a87f7f6f724,oferting,2017-09-07 00:00:00.000000
new,9ab6494f8b8ee1b212746f6a391c742a,oferting,2017-09-07 00:00:00.000000
preactivated,194568be225c00b3823df3040a5cf9e4,oferting,2017-09-07 00:00:00.000000
stranger,ae3d3e5e0d3d453fced4a80a86f0b2dc,oferting,2017-09-07 00:00:00.000000
new,d4f7e0de7924fff90e42fe76269898ba,oferting,2017-09-07 00:00:00.000000
frequent openers,c2cceb1f9ae26e1a197e4bf3a6110ecf,oferting,2017-09-07 00:00:00.000000
new,cbb60e43350871cbde8cf24e9eb1736f,oferting,2017-09-07 00:00:00.000000
stranger,86090d66c4311dec82dbc4e21a0b7e7f,oferting,2017-09-07 00:00:00.000000
total inactive,d4927988284d29e18331b518fb476d49,oferting,2017-09-07 00:00:00.000000
clickers,081f502a5c7075890d7f8707784390b6,oferting,2017-09-07 00:00:00.000000
frequent openers,cdfe6d1e801d28b83489180675516479,oferting,2017-09-07 00:00:00.000000
preactivated,2a06d4b26bb2790cb4192f17282eecea,oferting,2017-09-07 00:00:00.000000
new,33a2543832b5b67901e53b1cc612390e,oferting,2017-09-07 00:00:00.000000
frequent openers,e7fc37138b6dab7123ba3fd14a118084,oferting,2017-09-07 00:00:00.000000
frequent openers,d6fadd5a0d676c593f3188d36f0ee9f5,oferting,2017-09-07 00:00:00.000000
clickers,73a795af2ec9601d1346c2157c0ee18c,oferting,2017-09-07 00:00:00.000000
